Employee_ID,Employee_Name,Department,Salary,Performance_Score
1001,Usman,Marketing,85000,6
1002,Sana,Operations,60000,5
1003,Saad,IT,110000,6
1004,Danish,Finance,185000,3
1005,Zara,Finance,0,
1006,Usman,IT,180000,3
1007,Talha,Finance,200000,3
1008,Danish,IT,,4
1009,Danish,HR,150000,5
1010,Ayesha,IT,100000,1
1011,Zara,HR,170000,6
1012,Ahmed,Marketing,45000,6
1013,Sara,Marketing,170000,4
1014,Iqra,,-5000,
1015,Hina,Marketing,-5000,1
1016,Sara,HR,180000,5
1017,Ali,Operations,80000,2
1018,Iqra,Operations,120000,1
1019,Iqra,Finance,200000,6
1020,Omar,Finance,95000,4
1021,Noor,,120000,4
1022,Laiba,Finance,80000,3
1023,Saad,,0,5
1024,Saad,HR,170000,2
1025,Talha,IT,60000,5
1026,Iqra,Finance,180000,1
1027,Sana,Finance,200000,2
1028,Ahmed,Operations,200000,5
1029,Bilal,,135000,3
1030,Talha,IT,140000,2
1031,Usman,HR,160000,2
1032,Hamza,Operations,195000,1
1033,Usman,Finance,90000,2
1034,Nida,IT,105000,3
1035,Ayesha,Finance,115000,
1036,Maryam,Marketing,40000,
1037,Nida,Marketing,105000,4
1038,Hamza,Finance,,
1039,Sara,IT,110000,1
1040,Sana,,130000,4
1041,Saad,Marketing,145000,
1042,Usman,IT,160000,
1043,Iqra,IT,185000,4
1044,Zara,Marketing,110000,1
1045,Saad,IT,105000,4
1046,Ahmed,HR,,6
1047,Maryam,Finance,150000,6
1048,Omar,IT,45000,1
1049,Ayesha,Finance,45000,1
1050,Nida,HR,45000,5
1051,Zara,Marketing,170000,3
1052,Ayesha,IT,165000,
1053,Sara,HR,120000,5
1054,Hina,HR,105000,
1055,Noor,,130000,5
1056,Ayesha,Operations,130000,2
1057,Nida,IT,155000,6
1058,Iqra,Marketing,195000,4
1059,Sara,Finance,140000,5
1060,Noor,,50000,6
1061,Ayesha,IT,105000,3
1062,Maryam,Marketing,115000,
1063,Laiba,HR,40000,2
1064,Saad,IT,105000,3
1065,Zara,,180000,1
1066,Maryam,Finance,90000,
1067,Zara,IT,190000,6
1068,Laiba,HR,,5
1069,Fahad,Marketing,120000,4
1070,Nida,Marketing,55000,3
1071,Saad,IT,50000,6
1072,Fahad,,165000,2
1073,Hamza,HR,190000,4
1074,Saad,IT,,1
1075,Fahad,,55000,4
1076,Ali,IT,0,6
1077,Usman,IT,200000,6
1078,Hamza,Finance,120000,2
1079,Ali,Operations,80000,1
1080,Iqra,HR,60000,2
1081,Zara,,160000,6
1082,Danish,Operations,135000,
1083,Talha,IT,95000,2
1084,Omar,Marketing,75000,4
1085,Zara,IT,,6
1086,Ahmed,IT,110000,
1087,Ahmed,Operations,165000,
1088,Ali,,95000,3
1089,Bilal,HR,135000,4
1090,Noor,IT,80000,4
1091,Usman,Finance,40000,1
1092,Hamza,IT,130000,2
1093,Usman,IT,170000,5
1094,Hamza,HR,100000,2
1095,Zara,Marketing,-5000,4
1096,Iqra,Finance,145000,2
1097,Sara,IT,80000,4
1098,Ali,Operations,125000,6
1099,Laiba,Operations,120000,
1100,Bilal,Finance,160000,2
1101,Ahmed,IT,40000,6
1102,Iqra,Marketing,85000,2
1103,Zara,IT,105000,4
1104,Ahmed,IT,0,6
1105,Ali,Marketing,180000,4
1106,Ahmed,HR,115000,1
1107,Bilal,HR,80000,2
1108,Saad,HR,195000,3
1109,Maryam,HR,0,4
1110,Ahmed,HR,190000,3
1111,Ali,,55000,
1112,Bilal,IT,195000,
1113,Maryam,HR,45000,3
1114,Usman,IT,125000,5
1115,Hamza,,45000,
1116,Saad,Finance,195000,3
1117,Saad,IT,60000,1
1118,Noor,Operations,95000,1
1119,Fahad,IT,180000,
1120,Talha,IT,105000,6
1121,Usman,IT,75000,3
1122,Omar,IT,150000,3
1123,Sana,IT,,3
1124,Ayesha,Marketing,90000,5
1125,Bilal,IT,150000,
1126,Usman,Finance,95000,5
1127,Fahad,HR,120000,3
1128,Saad,IT,,4
1129,Danish,IT,160000,3
1130,Ayesha,,-5000,4
1131,Fahad,IT,75000,1
1132,Usman,Marketing,155000,4
1133,Talha,IT,200000,1
1134,Sara,HR,170000,
1135,Noor,HR,170000,6
1136,Fahad,IT,180000,6
1137,Hina,HR,180000,5
1138,Iqra,HR,70000,5
1139,Iqra,Marketing,160000,1
1140,Sana,HR,140000,1
1141,Danish,Finance,80000,3
1142,Usman,IT,110000,2
1143,Ali,Finance,195000,1
1144,Ali,Finance,155000,4
1145,Sana,IT,0,
1146,Fahad,IT,-5000,5
1147,Hamza,Marketing,200000,4
1148,Ahmed,Operations,140000,5
1149,Usman,IT,190000,
1150,Hina,HR,160000,4
1151,Zara,Operations,160000,5
1152,Hamza,IT,75000,1
1153,Bilal,Finance,190000,2
1154,Ali,IT,115000,1
1155,Talha,HR,100000,6
1156,Noor,Finance,75000,5
1157,Iqra,Finance,195000,3
1158,Saad,IT,65000,4
1159,Hamza,Finance,105000,2
1160,Sana,Operations,165000,4
1161,Omar,Finance,55000,3
1162,Omar,HR,80000,3
1163,Sana,Finance,170000,3
1164,Iqra,Marketing,45000,5
1165,Usman,Operations,50000,1
1166,Sara,Finance,120000,5
1167,Ahmed,HR,155000,1
1168,Omar,Marketing,120000,2
1169,Bilal,Marketing,120000,3
1170,Omar,HR,135000,6
1171,Omar,IT,150000,1
1172,Omar,IT,150000,
1173,Sara,Marketing,80000,6
1174,Sara,IT,160000,
1175,Bilal,Finance,155000,1
1176,Ali,,200000,6
1177,Ali,Operations,160000,6
1178,Talha,,125000,2
1179,Sara,,195000,4
1180,Iqra,HR,165000,5
1181,Hina,Finance,155000,3
1182,Ayesha,IT,130000,1
1183,Danish,Operations,180000,2
1184,Omar,IT,0,6
1185,Hina,,-5000,5
1186,Bilal,Finance,175000,4
1187,Sana,Operations,0,2
1188,Sara,HR,,4
1189,Hina,IT,75000,
1190,Danish,Marketing,80000,5
1191,Laiba,HR,185000,5
1192,Laiba,Operations,160000,4
1193,Ali,HR,60000,
1194,Hamza,Marketing,170000,3
1195,Hina,IT,50000,1
1196,Laiba,Finance,80000,6
1197,Ahmed,Marketing,,
1198,Sana,IT,180000,2
1199,Ayesha,HR,50000,4
1200,Talha,HR,105000,5
1201,Ahmed,Finance,55000,2
1202,Talha,Finance,75000,5
1203,Sana,Marketing,165000,
1204,Usman,Finance,60000,5
1205,Sana,IT,155000,6
1206,Hamza,IT,0,5
1207,Ali,HR,100000,6
1208,Zara,IT,70000,5
1209,Usman,,,5
1210,Nida,Operations,130000,6
1211,Zara,IT,125000,6
1212,Ali,Finance,145000,2
1213,Danish,Operations,75000,4
1214,Nida,Finance,175000,1
1215,Noor,HR,60000,2
1216,Ahmed,HR,40000,3
1217,Usman,Finance,145000,4
1218,Laiba,,50000,4
1219,Laiba,Marketing,160000,6
1220,Sana,HR,180000,3
1221,Omar,IT,135000,6
1222,Sara,Marketing,140000,6
1223,Ali,Operations,170000,
1224,Laiba,Finance,160000,3
1225,Iqra,Marketing,40000,
1226,Bilal,HR,70000,1
1227,Bilal,Operations,175000,
1228,Hamza,Operations,55000,6
1229,Hamza,IT,115000,1
1230,Ahmed,Marketing,185000,1
1231,Talha,IT,55000,5
1232,Laiba,HR,,5
1233,Laiba,IT,120000,3
1234,Ahmed,HR,90000,6
1235,Sana,IT,45000,1
1236,Ali,IT,40000,6
1237,Sana,Finance,-5000,
1238,Danish,Finance,95000,2
1239,Omar,IT,190000,5
1240,Zara,HR,60000,4
1241,Ayesha,Finance,190000,4
1242,Hina,IT,110000,
1243,Zara,IT,185000,5
1244,Sana,Operations,65000,2
1245,Ahmed,Marketing,65000,6
1246,Laiba,Operations,115000,1
1247,Ahmed,Finance,,5
1248,Nida,HR,45000,
1249,Maryam,Marketing,,6
1250,Nida,IT,180000,1
1251,Sara,Finance,-5000,5
1252,Ahmed,HR,195000,3
1253,Laiba,Operations,80000,2
1254,Hamza,HR,190000,4
1255,Ayesha,,90000,
1256,Ali,Operations,125000,4
1257,Ayesha,Finance,0,6
1258,Ali,Marketing,100000,1
1259,Maryam,Finance,40000,1
1260,Laiba,Operations,120000,3
1261,Sana,Finance,135000,1
1262,Zara,Operations,170000,1
1263,Usman,Finance,165000,6
1264,Ahmed,,50000,4
1265,Omar,Finance,50000,4
1266,Ali,Finance,150000,
1267,Laiba,Operations,135000,
1268,Iqra,Operations,110000,1
1269,Talha,Finance,185000,5
1270,Maryam,HR,125000,2
1271,Hina,Finance,150000,
1272,Hina,,45000,1
1273,Fahad,Marketing,65000,5
1274,Talha,Operations,170000,5
1275,Zara,HR,140000,4
1276,Sara,Finance,,5
1277,Ali,Marketing,65000,3
1278,Saad,Operations,65000,4
1279,Ali,HR,145000,4
1280,Bilal,Operations,40000,3
1281,Laiba,Finance,125000,6
1282,Talha,IT,0,6
1283,Ayesha,IT,185000,4
1284,Ahmed,IT,50000,
1285,Omar,Finance,100000,4
1286,Omar,HR,70000,3
1287,Iqra,HR,55000,1
1288,Maryam,Operations,155000,1
1289,Hina,HR,180000,1
1290,Ahmed,IT,140000,6
1291,Hamza,Finance,120000,3
1292,Bilal,Finance,75000,3
1293,Omar,Marketing,145000,
1294,Maryam,Finance,160000,3
1295,Ahmed,Operations,190000,5
1296,Ali,Finance,200000,1
1297,Sana,HR,160000,3
1298,Ali,HR,135000,2
1299,Ahmed,Finance,90000,6
1300,Nida,IT,45000,4
1301,Noor,Marketing,175000,
1302,Ahmed,Finance,185000,1
1303,Zara,IT,195000,5
1304,Maryam,HR,115000,5
1305,Nida,IT,75000,1
1306,Saad,Finance,190000,5
1307,Sara,IT,100000,2
1308,Noor,Finance,150000,
1309,Sara,HR,100000,6
1310,Omar,Marketing,70000,4
1311,Zara,Operations,,
1312,Ali,IT,,
1313,Hamza,Finance,160000,6
1314,Danish,,135000,1
1315,Laiba,IT,135000,3
1316,Usman,Finance,95000,4
1317,Noor,HR,170000,
1318,Ahmed,Finance,60000,2
1319,Nida,HR,150000,6
1320,Fahad,,85000,1
1321,Usman,Marketing,140000,3
1322,Ayesha,Operations,125000,3
1323,Fahad,Marketing,190000,1
1324,Sana,Finance,180000,
1325,Ali,Finance,150000,6
1326,Zara,Operations,145000,5
1327,Maryam,,110000,1
1328,Laiba,Finance,145000,5
1329,Maryam,,45000,3
1330,Iqra,Finance,-5000,3
1331,Talha,Finance,45000,2
1332,Saad,Finance,155000,2
1333,Sara,IT,-5000,3
1334,Sara,HR,80000,2
1335,Talha,IT,80000,2
1336,Omar,Finance,80000,2
1337,Sana,IT,,3
1338,Noor,Finance,200000,
1339,Hina,,170000,
1340,Saad,IT,100000,6
1341,Danish,Finance,60000,4
1342,Bilal,HR,80000,2
1343,Ali,HR,200000,
1344,Zara,Marketing,85000,4
1345,Iqra,Finance,70000,1
1346,Iqra,Marketing,140000,2
1347,Bilal,HR,170000,
1348,Usman,Finance,85000,
1349,Ayesha,IT,50000,5
1350,Hina,IT,135000,
1351,Fahad,HR,195000,5
1352,Sana,HR,-5000,4
1353,Saad,IT,145000,5
1354,Ahmed,HR,145000,1
1355,Zara,,,6
1356,Sana,IT,90000,2
1357,Laiba,HR,70000,
1358,Fahad,IT,200000,6
1359,Nida,Finance,50000,3
1360,Noor,HR,75000,2
1361,Talha,Operations,-5000,3
1362,Omar,,145000,6
1363,Talha,IT,165000,4
1364,Bilal,Finance,175000,
1365,Hamza,HR,195000,2
1366,Iqra,Marketing,200000,2
1367,Ali,IT,105000,
1368,Ali,IT,,6
1369,Saad,IT,120000,1
1370,Sara,Marketing,155000,4
1371,Laiba,IT,95000,
1372,Zara,HR,155000,5
1373,Fahad,Marketing,125000,2
1374,Ali,Finance,110000,1
1375,Laiba,Operations,,2
1376,Usman,HR,170000,3
1377,Bilal,Operations,185000,2
1378,Ahmed,Marketing,45000,4
1379,Iqra,HR,155000,
1380,Laiba,Marketing,-5000,2
1381,Talha,Finance,170000,5
1382,Bilal,,95000,3
1383,Maryam,HR,100000,3
1384,Bilal,Marketing,150000,
1385,Saad,IT,135000,3
1386,Omar,,115000,6
1387,Maryam,IT,175000,
1388,Sana,,190000,4
1389,Bilal,,80000,
1390,Iqra,IT,115000,1
1391,Laiba,Operations,,3
1392,Laiba,,0,3
1393,Usman,IT,150000,5
1394,Ayesha,Finance,140000,2
1395,Ali,Finance,0,1
1396,Bilal,IT,175000,6
1397,Noor,HR,100000,2
1398,Bilal,IT,,
1399,Ayesha,IT,180000,4
1400,Sara,Finance,165000,5
1401,Sana,HR,40000,3
1402,Noor,Operations,75000,6
1403,Talha,Marketing,175000,6
1404,Ali,HR,100000,4
1405,Bilal,Marketing,175000,
1406,Fahad,Marketing,135000,
1407,Ayesha,,75000,1
1408,Laiba,HR,170000,2
1409,Laiba,IT,110000,3
1410,Sara,,160000,6
1411,Omar,,120000,3
1412,Sana,Marketing,145000,6
1413,Iqra,Marketing,155000,4
1414,Nida,HR,100000,1
1415,Ahmed,Finance,60000,5
1416,Ali,IT,120000,
1417,Ali,IT,185000,1
1418,Talha,Operations,70000,3
1419,Danish,HR,115000,5
1420,Bilal,Finance,95000,2
1421,Iqra,,160000,4
1422,Ahmed,IT,,
1423,Ali,,105000,
1424,Ali,,125000,
1425,Zara,Finance,55000,2
1426,Noor,HR,50000,3
1427,Danish,IT,140000,3
1428,Iqra,IT,165000,1
1429,Fahad,IT,185000,5
1430,Iqra,IT,70000,6
1431,Maryam,,90000,1
1432,Sara,HR,190000,3
1433,Talha,Marketing,130000,
1434,Nida,HR,120000,2
1435,Ahmed,Finance,155000,3
1436,Omar,,80000,2
1437,Zara,IT,185000,4
1438,Noor,IT,45000,
1439,Sara,Marketing,0,4
1440,Talha,Marketing,40000,3
1441,Hamza,Marketing,45000,1
1442,Usman,IT,120000,3
1443,Ayesha,IT,155000,4
1444,Nida,,-5000,2
1445,Fahad,,130000,5
1446,Danish,Finance,55000,5
1447,Ayesha,Operations,110000,3
1448,Ayesha,Finance,70000,6
1449,Noor,IT,65000,1
1450,Bilal,HR,155000,4
1451,Hamza,IT,115000,3
1452,Ahmed,Finance,155000,4
1453,Omar,HR,160000,4
1454,Ahmed,Finance,55000,
1455,Laiba,Operations,110000,5
1456,Ayesha,Marketing,120000,6
1457,Nida,Marketing,105000,5
